strongs	source	gloss
H1990	strongs_he	Ham, a region of Palestine
H1991	bdb	of their moaning; wailing; wealth
H1991	strongs_he	abundance, i.e. wealth
H1992	bdb	they
H1992	strongs_he	they (only used when emphatic)
H1993	bdb	murmur, growl, roar, be boisterous; growl, murmur, roar, be in commotion, stir, be boisterous, turbulent; growl; murmur; roar; be in commotion, stir; be boisterous, turbulent
H1993	strongs_he	to make a loud sound (like English 'hum'); by implication, to be in great commotion or tumult, to rage, war, moan, clamor
H1994	bdb	they; them
H1994	strongs_he	they
H1995	bdb	sound, murmur, roar, crowd, abundance; sound, murmur, rush, roar; tumult, confusion; crowd, multitude; great number, abundance; abundance, wealth; rage; be turbulent
H1995	strongs_he	a noise, tumult, crowd; also disquietude, wealth
H1996	bdb	sound, murmur, roar, crowd, abundance; sound, murmur, rush, roar; tumult, confusion; crowd, multitude; great number, abundance; abundance, wealth
H1996	strongs_he	the multitude of Gog; the fanciful name of an emblematic place in Palestine
H1997	bdb	הֲמוֹנָהֿ n.pr.loc. a city appar. to be founded to commemorate defeat of Gog, Ez 39:16
H1997	strongs_he	Hamonah
H1998	bdb	sound; music
H1998	strongs_he	sound
H1999	bdb	rain-storm; rushing; roaring sound
H1999	strongs_he	a sound
H2000	bdb	make a noise; move noisily; confuse; discomfit
H2000	strongs_he	properly, to put in commotion; by implication, to disturb, drive, destroy
H2001	bdb	Haman
H2001	strongs_he	Haman, a Persian vizier
H2002	bdb	chain; necklace
H2002	strongs_he	a necklace
H2003	bdb	brushwood
H2003	strongs_he	a dry twig or brushwood
H2004	bdb	הֵן pron. 3 pl. fem.
H2004	strongs_he	they (only used when emphatic)
H2005	bdb	lo!; behold
H2005	strongs_he	lo!; also (as expressing surprise) if
H2006	bdb	if; whether; therefore
H2006	strongs_he	lo! also there(-fore), (un-) less, whether, but, if
H2007	strongs_he	themselves (often used emphatic for the copula, also in indirect relation)
H2008	bdb	hither
H2008	strongs_he	hither or thither (but used both of place and time)
H2009	bdb	lo!; behold!
H2009	strongs_he	lo!
H2010	bdb	a giving of rest; holiday-making
H2010	strongs_he	permission of rest, i.e. quiet
H2011	bdb	הִנֹּם n.pr.m. only n.pr.loc. of valley S. of Jerusalem
H2011	strongs_he	Hinnom, apparently a Jebusite
H2012	bdb	הֵנַע n.pr.loc. site unknown
H2012	strongs_he	Hena, a place apparently in Mesopotamia
H2013	bdb	hush!; keep silence; stilled
H2013	strongs_he	to hush
H2014	bdb	[הֲפוּגָה] n.f. id. [q.an.ab];—pl. La 3:49
H2014	strongs_he	relaxation
H2015	bdb	turn, overturn; turn, turn about, turn over, overturn, overthrow, turn, change, transform, turn, turn back, turn, change, change into; turn, turn about, turn over, overturn, overthrow, turn, change, transform; turn, turn about, turn over; overturn, overthrow; turn, change, transform; turn, turn back, turn, change, change into; turn, turn back; turn, change, change into; turn oneself, turn, turn back, turn, change, be perverse, be turned, turn over to, be reversed, be turned, changed, be overturned, overthrown, be upturned; turn oneself, turn, turn back, turn, change, be perverse; turn oneself, turn, turn back; turn, change; be perverse; be turned, turn over to, be reversed, be turned, changed, be overturned, overthrown, be upturned; be turned, turn over to; be reversed; be turned, changed; be overturned, overthrown; be upturned; turn this way & that, every way, transform oneself; turn this way & that, every way; transform oneself; there have been turned upon me terrors
H2015	strongs_he	to turn about or over; by implication, to change, overturn, return, pervert
H2016	bdb	the contrary, contrariness, perversity; the contrary, opposite thing; Oh, your perversity!
H2016	strongs_he	a turn, i.e. the reverse
H2017	bdb	the contrary, contrariness, perversity; the contrary, opposite thing; Oh, your perversity!
H2017	strongs_he	an upset, i.e. (abstract) perversity
H2018	bdb	overthrow
H2018	strongs_he	destruction
H2019	bdb	crooked
H2019	strongs_he	very perverse
H2020	bdb	deliverance
H2020	strongs_he	rescue
H2021	bdb	הֹ֫צֶן n.[m.] deriv. & mng. dub.; only Ez 23:24
H2021	strongs_he	a weapon of war
H2022	bdb	mountain, hill, hill-country; mountain, hill; hill-country, mountain-region
H2022	strongs_he	a mountain or range of hills (sometimes used figuratively)
H2023	bdb	הֹר n.pr.mont. mt. on border of Edom a NE. spur of Lebanon
H2023	strongs_he	Hor, the name of a peak in Idumaea and of one in Syria
H2024	bdb	הָרָא n.pr.loc. 1 Ch 5:26
H2024	strongs_he	Hara, a region of Media
H2025	bdb	hearth; altar-hearth
H2025	strongs_he	mount of God; figuratively, the altar of burnt-offering
H2026	bdb	kill, slay; kill, slay, destroy, ruin; kill, slay; kill, slay; destroy, ruin; shall priest and prophet be slain in the sanctuary?; shall priest and prophet be slain in the sanctuary?; be slain
H2026	strongs_he	to smite with deadly intent
H2027	bdb	slaughter
H2027	strongs_he	slaughter
H2028	bdb	slaughter
H2028	strongs_he	slaughter
H2029	bdb	conceive, become pregnant; conceive, become pregnant; conceive, become pregnant; a man hath been conceived; conceive, contrive, devise
H2029	strongs_he	to be (or become) pregnant, conceive (literally or figuratively)
H2030	bdb	pregnant; pregnant
H2030	strongs_he	pregnant
H2031	bdb	fancy; imagining
H2031	strongs_he	a mental conception
H2032	bdb	conception; pregnancy
H2032	strongs_he	pregnancy
H2033	bdb	הֲרוֹרִי adj.gent. 1 Ch 11:27
H2033	strongs_he	a Harorite or mountaineer
H2034	bdb	ruin
H2034	strongs_he	something demolished
H2035	bdb	overthrow; destruction; ruin
H2035	strongs_he	demolition
H2036	bdb	הֹרָם n.pr.m. a Canaanitish king ruling in Gezer Jos 10:33.
H2036	strongs_he	Horam, a Canaanitish king
H2037	bdb	הָרֻם n.pr.m. a Judaite 1 Ch 4:8.
H2037	strongs_he	Harum, an Israelite
H2038	bdb	ye shall cast; into Harmon
H2038	strongs_he	a castle (from its height)
H2039	bdb	mountaineer
H2039	strongs_he	Haran, the name of two men
H2040	bdb	throw down, break, tear down; throw down, tear down, break down, break away, break through; throw down, tear down; break down, break away; break through; be thrown, torn down; overthrow, tear down
H2040	strongs_he	to pull down or in pieces, break, destroy
H2041	bdb	overthrow; destruction
H2041	strongs_he	demolition
H2042	bdb	mountain, hill, hill-country; mountain, hill; hill-country, mountain-region
H2042	strongs_he	a mountain
H2043	bdb	mountain-dweller
H2043	strongs_he	Hararite.
H2044	bdb	הָשֵׁם n.pr.m. father of one (or more?) of David’s heroes 1 Ch 11:34
H2044	strongs_he	Hashem, an Israelite
H2045	bdb	a causing to hear
H2045	strongs_he	announcement
H2046	bdb	a melting
H2046	strongs_he	a melting
H2047	bdb	הֲתָךְ n.pr.m. a Persian official at court of Ahasuerus
H2047	strongs_he	Hathak, a Persian eunuch
H2048	bdb	deceive; mock; mock, deceive; is deceived
H2048	strongs_he	to deride; by implication, to cheat
H2049	bdb	mockery
H2049	strongs_he	a derision
H2050	bdb	shout at
H2050	strongs_he	properly, to break in upon, i.e. to assail
H2051	bdb	וְדָן, appar. n.pr.loc., only in Ez 27:19 but identif. wholly dub.
H2051	strongs_he	Vedan (or Aden), a place in Arabia
H2052	bdb	וָהֵב, appar. n.pr.loc. Nu 21:14, obj. of a vb. now lost out of the text
H2052	strongs_he	Vaheb, a place in Moab
H2053	bdb	hook; pin; peg
H2053	strongs_he	a hook (the name of the sixth Hebrew letter)
H2054	bdb	criminal; guilty
H2054	strongs_he	crime
H2055	bdb	וַיְזָתָא n.pr.m. a son of Haman Est 9:9.
H2055	strongs_he	Vajezatha, a son of Haman
H2056	bdb	offspring; child
H2056	strongs_he	a boy
H2057	bdb	וַנְיָה n.pr.m. one of those with strange wives, Ezr 10:36
H2057	strongs_he	Vanjah, an Israelite
H2058	bdb	וָפְסִי n.pr.m. a man of Naphtali, Nu 13:14
H2058	strongs_he	Vophsi, an Israelite
H2059	bdb	וַשְׁנִי acc. to MT appar. n.pr.m. son of Samuel, only 1 Ch 6:13
H2059	strongs_he	Vashni, an Israelite
H2060	bdb	וַשְׁתִּי n.pr.f. queen of Ahasuerus (Xerxes) king of Persia
H2060	strongs_he	Vashti, the queen of Xerxes
H2061	bdb	wolf
H2061	strongs_he	a wolf
H2062	bdb	wolf; wine-vat of Zeeb
H2062	strongs_he	Zeeb, a Midianitish prince
H2063	bdb	this, here
H2063	strongs_he	this (often used adverb)
H2064	bdb	bestow upon; endow with
H2064	strongs_he	to confer
H2065	bdb	endowment; gift
H2065	strongs_he	a gift
H2066	bdb	he hath given, a gift
H2066	strongs_he	Zabad, the name of seven Israelites
H2067	bdb	זַבְדִּי n.pr.m. grandfather of Achan, of Judah a Benjamite an officer of David a Levite
H2067	strongs_he	Zabdi, the name of four Israelites
H2068	bdb	my gift is God
H2068	strongs_he	gift of God; Zabdiel, the name of two Israelites
H2069	bdb	hath bestowed
H2069	strongs_he	Zebadjah, the name of nine Israelites
H2070	bdb	fly; as moving to and fro; dead flies
H2070	strongs_he	a fly (especially one of a stinging nature)
H2071	bdb	bestowed
H2071	strongs_he	given, Zabud, an Israelite
H2072	bdb	זבוד n.pr.m. a returned exile Ezr 8:14 Kt; Qr זַכּוּר, q.v.
H2072	strongs_he	Zabbud, an Israelite
H2073	bdb	elevation; height; abode
H2073	strongs_he	a residence
H2074	bdb	Zebulun
H2074	strongs_he	Zebulon, a son of Jacob; also his territory and tribe
H2075	bdb	the Zebulonites
H2075	strongs_he	a Zebulonite or descendant of Zebulun
H2076	bdb	slaughter for sacrifice; slaughter for sacrifice, slaughter for eating, slaughter for divine judgment; slaughter for sacrifice; slaughter for eating; slaughter for divine judgment; sacrifice
H2076	strongs_he	to slaughter an animal (usually in sacrifice)
H2077	bdb	sacrifice; the covenant sacrifice, the passover, annual sacrifice, thank offering; the covenant sacrifice; the passover; annual sacrifice; thank offering
H2077	strongs_he	properly, a slaughter, i.e. the flesh of an animal; by implication, a sacrifice (the victim or the act)
H2078	bdb	זֶ֫בַח n.pr.m. a Midianite king
H2078	strongs_he	Zebach, a Midianitish prince
H2079	bdb	זַבַּי n.pr.m.—Jew in Ezra’s time
H2079	strongs_he	Zabbai (or Zaccai), an Israelite
H2080	bdb	זבידה Kt, זְבוּדָה Qr, n.pr.f. mother of Jehoiakim
H2080	strongs_he	Zebidah, an Israelitess
H2081	bdb	bought
H2081	strongs_he	Zebina, an Israelite
H2082	bdb	exalt; honour
H2082	strongs_he	to reside
H2083	bdb	זְבֻל n.pr.m. an officer of Abimelech
H2083	strongs_he	Zebul, an Israelite
H2084	bdb	buy; gain
H2084	strongs_he	to acquire by purchase
H2085	bdb	זָג n.[m.] name of some comparatively insignif. product of vine: Nu 6:4
H2085	strongs_he	the skin of a grape
H2086	bdb	insolent; presumptious
H2086	strongs_he	arrogant
H2087	bdb	insolence; presumptuousness
H2087	strongs_he	arrogance
H2088	bdb	this, here
H2088	strongs_he	the masculine demonstrative pronoun, this or that
H2089	bdb	one of a flock; sheep; goat
H2089	strongs_he	a sheep
H2090	bdb	this
H2090	strongs_he	this or that
H2091	bdb	gold; golden oil
H2091	strongs_he	gold, figuratively, something gold-colored (i.e. yellow), as oil, a clear sky
H2092	bdb	be foul; loathsome
H2092	strongs_he	to be rancid, i.e. (transitively) to loathe
H2093	bdb	זָ֑הַם n.pr.m. (fr. above √ ?) a son of Rehoboam, 2 Ch 11:19.
H2093	strongs_he	Zaham, an Israelite
H2094	bdb	be light, shining; send out light, shine; instruct, teach, warn; be instructed, admonished, warned
H2094	strongs_he	to gleam; figuratively, to enlighten (by caution)
H2095	bdb	warned
H2095	strongs_he	(passively) be admonished
H2096	bdb	shining; brightness
H2096	strongs_he	brilliancy
H2097	bdb	this; which
H2097	strongs_he	this or that
H2098	bdb	this; which
H2098	strongs_he	this or that
H2099	bdb	זִו appar. n.pr. of 2nd month, = c. April-May, named as month of beginning the temple-building
H2099	strongs_he	Ziv (corresponding to Ijar or May)
H2100	bdb	flow; gush
H2100	strongs_he	to flow freely (as water), i.e. (specifically) to have a (sexual) flux; figuratively, to waste away; also to overflow
H2101	bdb	issue
H2101	strongs_he	a seminal or menstrual flux
H2102	bdb	boil up, seethe, act proudly, presumptuously, rebelliously; in the matter, which they acted presumptuously against them, against, hath she acted presumptuously; boil, seethe, act presumptuously, insolently; boil, seethe; act presumptuously, insolently
H2102	strongs_he	to seethe; figuratively, to be insolent
H2103	bdb	be presumptuous
H2103	strongs_he	to be proud
H2104	bdb	זוּזִים n.pr.gent. an ancient trans-Jordanic people, Gn 14:5
H2104	strongs_he	Zuzites, an aboriginal tribe of Palestine
H2105	bdb	זוֹחֵת n.pr.m. a descendant of Judah 1 Ch 4:20
H2105	strongs_he	Zocheth, an Israelite
H2106	bdb	corner
H2106	strongs_he	an angle (as projecting), i.e. (by implication) a corner-column (or anta)
H2107	bdb	lavish; be cheap; of little value; lightly esteem
H2107	strongs_he	probably to shake out, i.e. (by implication) to scatter profusely; figuratively, to treat lightly
H2108	bdb	removal; except; only; save that
H2108	strongs_he	probably scattering, i.e. removal; used adverbially, except
H2109	bdb	feed; well-fed horses; [יזן] vb. only Pu. Pt. pl. Je 5:8; mng. dub.
H2109	strongs_he	perhaps properly, to be plump, i.e. (transitively) to nourish
H2110	bdb	feed; be fed
H2110	strongs_he	feed.
H2111	bdb	tremble, quake; tremble, quake; violently shake thee
H2111	strongs_he	properly, to shake off, i.e. (figuratively) to agitate (as with fear)
H2112	bdb	tremble
H2112	strongs_he	to shake (with fear)
H2113	bdb	a trembling; object of trembling; terror
H2113	strongs_he	agitation, fear
H2114	bdb	be a stranger; become estranged, strange, stranger; become estranged; strange, stranger; be estranged; estranged; be loathsome
H2114	strongs_he	to turn aside (especially for lodging); hence to be a foreigner, strange, profane; specifically (active participle) to commit adultery
H2115	bdb	press down and out
H2115	strongs_he	to press together, tighten
H2116	bdb	press down and out
H2116	strongs_he	trodden on
H2117	bdb	זָזָא n.pr.m. a descendant of יְרַחְמְאֵל of Judah 1 Ch 2:33.
H2117	strongs_he	Zaza, an Israelite
H2118	bdb	remove, displace; and that the breast-piece be not displaced
H2118	strongs_he	to shove or displace
H2119	bdb	fear; be afraid; shrink back; crawl away
H2119	strongs_he	to crawl; by implication, to fear
H2120	bdb	crawling thing; serpent
H2120	strongs_he	Zocheleth, a boundary stone in. Palestine
H2121	bdb	insolent; raging
H2121	strongs_he	boiling of water, i.e. wave
H2122	bdb	brightness; splendour
H2122	strongs_he	(figuratively) cheerfulness
H2123	bdb	moving things; abundance; fulness
H2123	strongs_he	fulness of the breast; also a moving creature
H2124	bdb	זִיזָא n.pr.m. a Simeonite a son of Rehoboam
H2124	strongs_he	Ziza, the name of two Israelites
H2125	bdb	זִיזָה n.pr.m. a Levite 1 Ch 23:11, = זִינָא v. 10
H2125	strongs_he	Zizah, an Israelite
H2126	bdb	זִיזָה n.pr.m. a Levite 1 Ch 23:11, = זִינָא v. 10
H2126	strongs_he	Zina, an Israelite
H2127	bdb	זִיעַ n.pr.m. a Gadite 1 Ch 5:13
H2127	strongs_he	Zia, an Israelite
H2128	bdb	זִיף n.pr. n.pr.loc. city S.E. from Hebron city of southern Judah n.pr.m. a son of יְהַלָּלְאֵל of Judah
H2128	strongs_he	Ziph, the name of a place in Palestine; also of an Israelite
H2129	bdb	זִיפָה n.pr.m. a son of יְהַלֶּלְאֵל 1 Ch 4:16
H2129	strongs_he	Ziphah, an Israelite
H2130	bdb	[זִיפִי] adj.gent.; only mpl. as n.pr.gent.
H2130	strongs_he	a Ziphite or inhabitant of Ziph
H2131	bdb	fetter; fetters; missile; spark
H2131	strongs_he	properly, what leaps forth, i.e. flash of fire, or a burning arrow; also (from the original sense of the root) a bond
H2132	bdb	olive-tree, olive; olive-tree; olives
H2132	strongs_he	an olive (as yielding illuminating oil), the tree, the branch or the berry
H2133	bdb	olive-tree
H2133	strongs_he	Zethan, an Israelite
H2134	bdb	pure, clean; pure; pure, clean, righteous
H2134	strongs_he	clear
H2135	bdb	be clear, clean, pure; be clean, pure, be clear, be justified; be clean, pure; be clear, be justified; make, keep clean, pure; make yourselves clean
H2135	strongs_he	to be translucent; figuratively, to be innocent
H2136	bdb	purity; innocence
H2136	strongs_he	purity
H2137	bdb	glass
H2137	strongs_he	properly, transparency, i.e. glass
H2138	bdb	male
H2138	strongs_he	a male (of man or animals)
H2139	bdb	זַכּוּר n.pr.m. a Reubenite a Simeonite Levites companion of Ezra contemp. of Nehemiah
H2139	strongs_he	Zakkur, the name of seven Israelites
H2140	bdb	זַכַּי n.pr.m. head of a family of returned exiles
H2140	strongs_he	Zakkai, an Israelite
H2141	bdb	be bright, clean, pure; be bright, shining, be clean, pure; be bright, shining; be clean, pure; cleanse
H2141	strongs_he	to be transparent or clean (phys. or morally)
H2142	bdb	remember; remember, recall, call to mind, remember, remember, remember, think of, on, call to mind, remember, remember, mention of, remember, remember, remember, remember; remember, recall, call to mind, remember, remember, remember, think of, on, call to mind, remember, remember, mention of; remember, recall, call to mind; remember; remember; remember; think of, on, call to mind; remember; remember, mention of; remember, remember, remember, remember; remember; remember; remember; remember; remember; remember; be brought to remembrance, remembered, thought of, be not remembered, be remembered; be brought to remembrance, remembered, thought of; be not remembered; be remembered; cause to remember, remind, cause to be remembered, keep in remembrance, mention, record, make a memorial; cause to remember, remind; cause to be remembered, keep in remembrance; mention; record; make a memorial
H2142	strongs_he	properly, to mark (so as to be recognized), i.e. to remember; by implication, to mention; to be male
H2143	bdb	remembrance; memorial
H2143	strongs_he	a memento, abstractly recollection (rarely if ever); by implication, commemoration
H2144	bdb	[זֶ֫כֶר] n.pr.m. only 1 Ch 8:31
H2144	strongs_he	Zeker, an Israelite
H2145	bdb	male; male; male
H2145	strongs_he	properly, remembered, i.e. a male (of man or animals, as being the most noteworthy sex)
H2146	bdb	memorial; remembrance
H2146	strongs_he	a memento (or memorable thing, day or writing)
H2147	bdb	זִכְרִי n.pr.m. a Reubenite a Judahite Levites a priest Benjamites father of a captain in Jehoiada’s time mighty man of Ephraim
H2147	strongs_he	Zicri, the name of twelve Israelites
H2148	bdb	זְכַרְיָהוּ, oftener זְכַרְיָה n.pr.m. king of Isr., son of Jerob. II father of Hezekiah’s mother contemporary of Isaiah a Reubenite a Benjamite a Manassite a son of Jehoshaphat a captain of Jehosh. teacher of Uzziah Levites priests returned exiles; זְכַרְיָה n.pr.m. prophet
H2148	strongs_he	Zecarjah, the name of twenty-nine Israelites
H2149	bdb	worthlessness
H2149	strongs_he	properly, a shaking, i.e. perhaps a tempest
H2150	bdb	tendrils; tendrils
H2150	strongs_he	tremulous, i.e. a twig
H2151	bdb	shake; shake, quake; be light, worthless, make light of; be worthless, insignificant, make light of, be lavish with, squander; be worthless, insignificant; make light of, be lavish with, squander; make light of, despise
H2151	strongs_he	to shake (as in the wind), i.e. to quake; figuratively, to be loose morally, worthless or prodigal
H2152	bdb	raging heat
H2152	strongs_he	a glow (of wind or anger); also a famine (as consuming)
H2153	bdb	זִלְפָּה n.pr.f. Leah's maid, one of Jacob's wives, mother of Gad and Asher
H2153	strongs_he	Zilpah, Leah's maid
H2154	bdb	plan; device; wickedness
H2154	strongs_he	a plan, especially a bad one
H2155	bdb	זִמָּה n.pr.m. of several Levites (Gershonites)
H2155	strongs_he	Zimmah, the name of two Israelites
H2156	bdb	branch; twig; shoot
H2156	strongs_he	a twig (as pruned)
H2157	bdb	זַמְזֻמִּים n.pr.gent. said to be a name given to רְפָאִים by the Ammonites who dispossessed them Dt 2:20
H2157	strongs_he	a Zamzumite, or native tribe of Palestine
H2158	bdb	song
H2158	strongs_he	a song to be accompanied with instrumental music
H2159	bdb	trimming; pruning
H2159	strongs_he	a twig (as pruned)
H2160	bdb	זְמִירָה n.pr.m. a Benjamite, 1 Ch 7:8
H2160	strongs_he	Zemirah, an Israelite
H2161	bdb	consider; purpose; devise
H2161	strongs_he	to plan, usually in a bad sense
H2162	bdb	plan; device
H2162	strongs_he	a plot
H2163	bdb	be fixed; appointed
H2163	strongs_he	to fix (a time)
H2164	bdb	agree together
H2164	strongs_he	to agree (on a time and place)
H2165	bdb	appointed time; time
H2165	strongs_he	an appointed occasion
H2166	bdb	time
H2166	strongs_he	season, time.
H2167	bdb	make music
H2167	strongs_he	properly, to touch the strings or parts of a musical instrument, i.e. play upon it; to make music, accompanied by the voice; hence to celebrate in song and music
H2168	bdb	trim, prune; be pruned
H2168	strongs_he	to trim (a vine)
H2169	bdb	mountain-sheep; -goat
H2169	strongs_he	a gazelle (from its lightly touching the ground)
H2170	bdb	music
H2170	strongs_he	instrumental music
H2171	bdb	singer
H2171	strongs_he	an instrumental musician
H2172	bdb	melody, song
H2172	strongs_he	a musical piece or song to be accompanied by an instrument
H2173	bdb	choice products
H2173	strongs_he	pruned (i.e. choice) fruit
H2174	bdb	זִמְרִי n.pr.m. a Simeonite grandson of Judah king of Isr. before Omri a Benjamite; זִמְרִי n.pr.gent. vel patr., only Je 25:25
H2174	strongs_he	Zimri, the name of five Israelites, and of an Arabian tribe
H2175	bdb	זִמְרָן n.pr.m. son of Abraham & Keturah
H2175	strongs_he	Zimran, a son of Abraham by Keturah
H2176	bdb	melody, song
H2176	strongs_he	instrumental music; by implication, praise
H2177	bdb	kind; sort
H2177	strongs_he	properly, nourished (or fully developed), i.e. a form or sort
H2178	bdb	kind; sort
H2178	strongs_he	sort
H2179	bdb	cut off; smite; the tail
H2179	strongs_he	to curtail, i.e. cut off the rear
H2180	bdb	tail; end; stump
H2180	strongs_he	the tail (literally or figuratively)
H2181	bdb	commit fornication, be a harlot; be, act as a harlot, of improper intercourse with foreign nations, of intercourse with other deities; be, act as a harlot; of improper intercourse with foreign nations; of intercourse with other deities; fornication was not done, after thee; cause to commit fornication, commit fornication; cause to commit fornication; commit fornication
H2181	strongs_he	to commit adultery (usually of the female, and less often of simple fornication, rarely of involuntary ravishment); figuratively, to commit idolatry (the Jewish people being regarded as the spouse of Jehovah)
H2182	bdb	Zanu‛a
H2182	strongs_he	Zanoach, the name of two places in Palestine
H2183	bdb	fornication
H2183	strongs_he	adultery; figuratively, idolatry
H2184	bdb	fornication
H2184	strongs_he	adultery, i.e. (figuratively) infidelity, idolatry
H2185	bdb	commit fornication, be a harlot; be, act as a harlot, of improper intercourse with foreign nations, of intercourse with other deities; be, act as a harlot; of improper intercourse with foreign nations; of intercourse with other deities; fornication was not done, after thee; cause to commit fornication, commit fornication; cause to commit fornication; commit fornication
H2185	strongs_he	harlots
H2186	bdb	reject, spurn; reject; reject; stink; emit stench
H2186	strongs_he	reject, forsake, fail
H2187	bdb	leap
H2187	strongs_he	properly, to draw together the feet (as an animal about to dart upon its prey), i.e. to spring forward
H2188	bdb	sweat
H2188	strongs_he	perspiration
H2189	bdb	a trembling; object of trembling; terror
H2189	strongs_he	agitation, maltreatment
H2190	bdb	זַעֲוָן n.pr.m. a descendant (branch or tribe) of Seir
H2190	strongs_he	Zaavan, an Idumaean
H2191	bdb	a little
H2191	strongs_he	small
H2192	bdb	little; small
H2192	strongs_he	little.
H2193	bdb	extinguish; be extinguished
H2193	strongs_he	to extinguish
H2194	bdb	be indignant; be indignant, have indignation, express indignation in speech, denounce, curse; be indignant, have indignation; express indignation in speech, denounce, curse; face stirred with indignation
H2194	strongs_he	properly, to foam at the mouth, i.e. to be enraged
H2195	bdb	indignation
H2195	strongs_he	strictly froth at the mouth, i.e. (figuratively) fury (especially of God's displeasure with sin)
H2196	bdb	be out of humour; vexed; be enraged
H2196	strongs_he	properly, to boil up, i.e. (figuratively) to be peevish or angry
H2197	bdb	storming; raging; rage
H2197	strongs_he	anger
H2198	bdb	out of humour; vexed
H2198	strongs_he	angry
H2199	bdb	cry, cry out, call; call, cry, cry out; call; cry, cry out; be called together, assemble, join; call, call out, together, make a crying, have proclamation made, call out, at; call, call out, together; make a crying; have proclamation made; call out, at
H2199	strongs_he	to shriek (from anguish or danger); by analogy, (as a herald) to announce or convene publicly
H2200	bdb	cry; call
H2200	strongs_he	to make an outcry
H2201	bdb	cry, outcry; outcry; cry of distress; outcry, clamour
H2201	strongs_he	a shriek or outcry
H2202	bdb	[זִפְרֹן] n.pr.loc. only Nu 34:9, place on northern boundary of Canaan
H2202	strongs_he	Ziphron, a place in Palestine
H2203	bdb	pitch
H2203	strongs_he	asphalt (from its tendency to soften in the sun)
H2204	bdb	be, become old; be, become, old; shew age, grow old
H2204	strongs_he	to be old
H2205	bdb	old; old; old man, elder; old man; elder
H2205	strongs_he	old
H2206	bdb	chin; beard
H2206	strongs_he	the beard (as indicating age)
H2207	bdb	old age
H2207	strongs_he	old age
H2208	bdb	old age
H2208	strongs_he	old age
H2209	bdb	old age
H2209	strongs_he	old age
H2210	bdb	raise up
H2210	strongs_he	to life, i.e. (figuratively) comfort
H2211	bdb	raise; lift up
H2211	strongs_he	to hang, i.e. impale
H2212	bdb	refine, purify; refined
H2212	strongs_he	to strain, (figuratively) extract, clarify
H2213	bdb	circlet; border; that which presses; binds
H2213	strongs_he	a chaplet (as spread around the top), i.e. (specifically) a border moulding
H2214	bdb	loathsome thing
H2214	strongs_he	disgust
H2215	bdb	be burnt; scorched
H2215	strongs_he	to flow away
H2216	bdb	זְרֻבָּבֶ֫ל n.pr.m. grandson of Jehoiachin, and son of Pedaiah (but son of Shealtiel); leader of first returning exiles
H2216	strongs_he	Zerubbabel, an Israelite
H2217	bdb	זְרֻבָּבֶ֫ל n.pr.m. (BH id.);—Ezr 5:2.
H2217	strongs_he	Zerubbabel.
H2218	bdb	זֶ֫רֶד n.pr.fl. identification disputed; between Moab & Edom
H2218	strongs_he	Zered, a brook East of the Dead Sea
H2219	bdb	scatter, fan, winnow, cause to fly, scatter, winnow; scatter, fan, winnow; scatter; fan, winnow; be scattered, dispersed; scatter, disperse, winnow, sift; scatter, disperse; winnow, sift
H2219	strongs_he	to toss about; by implication, to diffuse, winnow
H2220	bdb	arm, shoulder, strength; arm; arm, strength; forces; Shoulder
H2220	strongs_he	the arm (as stretched out), or (of animals) the foreleg; figuratively, force
H2221	bdb	sowing; thing sown
H2221	strongs_he	something sown, i.e. a plant
H2222	bdb	drop; dripping; drip
H2222	strongs_he	a pouring rain
H2223	bdb	girded; girt
H2223	strongs_he	properly, tightly girt, i.e. probably a racer, or some fleet animal (as being slender in the waist)
H2224	bdb	rise; come forth
H2224	strongs_he	properly, to irradiate (or shoot forth beams), i.e. to rise (as the sun); specifically, to appear (as a symptom of leprosy)
H2225	bdb	dawning; shining
H2225	strongs_he	a rising of light
H2226	bdb	זֶ֫רַח n.pr.m. son of Judah and Tamar Edomites Levites head of Simeonite family a Cushite
H2226	strongs_he	Zerach, the name of three Israelites, also of an Idumaean and an Ethiopian prince
H2227	bdb	זַרְחִי adj.gent. alw. c. art. as subst. coll.
H2227	strongs_he	a Zarchite or descendant of Zerach
H2228	bdb	hath risen, shined
H2228	strongs_he	Zerachjah, the name of two Israelites
H2229	bdb	pour forth in floods, flood away; thou floodest them with rain, sweepest them, away; cloud masses, poured forth water
H2229	strongs_he	to gush (as water)
H2230	bdb	flood of rain; rain-storm; downpour
H2230	strongs_he	a gush of water
H2231	bdb	issue
H2231	strongs_he	a gushing of fluid (semen)
H2232	bdb	sow, scatter seed; sow, producing, yielding seed; sow; producing, yielding seed; be sown, fructified, be sown, be fructified, made pregnant; be sown; be fructified, made pregnant; produce seed, bear a child; produce seed; bear a child
H2232	strongs_he	to sow; figuratively, to disseminate, plant, fructify
H2233	bdb	sowing, seed, offspring; sowing, sowing; sowing; sowing; seed; seed; seed, offspring; seed
H2233	strongs_he	seed; figuratively, fruit, plant, sowing-time, posterity
H2234	bdb	seed
H2234	strongs_he	posterity
H2235	bdb	vegetable; [זֵֽרְעֹן] n.[m.] id. [g.cl.ad], only pl. Dn 1:16.
H2235	strongs_he	something sown (only in the plural), i.e. a vegetable (as food)
H2236	bdb	to toss, throw, scatter abundantly; toss, profuse; toss; profuse; poured
H2236	strongs_he	to sprinkle (fluid or solid particles)
H2237	bdb	sneeze
